Account,Date,daily_PnL,win_rate,avg_trade_size,num_trades,long_short_ratio,value,classification
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-03,0.0,0.0,1834.7278688524589,61,0.0,74.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-08,1023.27508,1.0,1200.6454545454546,22,21.0,70.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-14,0.0,0.0,1589.0237499999998,8,0.0,63.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-15,0.0,0.0,1128.8333333333333,3,0.0,70.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-16,0.0,0.0,910.4933333333333,3,0.0,75.0,Extreme Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-17,0.0,0.0,1519.4399999999998,3,0.0,75.0,Extreme Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-18,-10750.654828,0.0,7729.219166666667,12,1.4,77.0,Extreme Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-19,-7963.5855,0.0,2508.4396666666667,30,0.6666666666666666,77.0,Extreme Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-20,24895.400898,1.0,4336.907878787879,33,3.7142857142857144,76.0,Extreme Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-27,20428.824,1.0,2342.7495652173916,23,inf,71.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-01-31,0.0,0.0,1589.025081967213,61,0.0,76.0,Extreme Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-03,160022.95082600001,1.0,3243.988695652174,69,inf,44.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-04,0.0,0.0,3777.777777777778,18,0.0,72.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-06,-24500.0,0.0,18423.076923076922,13,12.0,49.0,Neutral
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-09,0.0,0.0,625.8133333333334,3,0.0,46.0,Neutral
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-10,0.0,0.0,591.3531818181818,22,0.0,43.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-15,0.0,0.0,805.4399999999999,4,0.0,50.0,Neutral
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-21,0.0,0.0,4675.215454545454,33,0.2222222222222222,55.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-22,15074.26913,0.9,7487.178405797102,138,1.6538461538461537,49.0,Neutral
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-23,0.0,0.0,2502.296301369863,73,0.0,50.0,Neutral
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-24,0.0,0.0,1796.1407142857145,28,0.037037037037037035,49.0,Neutral
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-25,3859.44,1.0,2181.2564285714284,28,1.5454545454545454,25.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-26,-871.1949999999999,0.5,3619.3485714285716,42,0.16666666666666666,21.0,Extreme Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-27,-48309.11776,0.038461538461538464,8859.279777777778,90,0.058823529411764705,10.0,Extreme Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-28,67673.757678,1.0,8249.914915254238,59,inf,16.0,Extreme Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-02,-2632.65866,0.0,12216.244880952381,84,inf,26.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-03,57561.35367,0.896,8611.731764705883,136,1.2295081967213115,33.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-04,0.0,0.0,86000.0,2,inf,15.0,Extreme Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-05,3677.4,1.0,22375.0,8,0.0,20.0,Extreme Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-06,0.0,0.0,2433.409375,16,0.23076923076923078,25.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-07,43861.966536,0.97,9958.719795918369,147,3.7419354838709675,34.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-08,5836.8743,1.0,1318.431388888889,36,inf,28.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-11,0.0,0.0,4591.028571428572,7,0.0,24.0,Extreme Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-12,-15387.62119,0.0,24693.342631578947,57,4.7,34.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-18,-120.432,0.0,17589.48851851852,27,1.7,34.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-19,0.0,0.0,4414.302692307692,26,2.25,32.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-26,0.0,0.0,32793.78333333333,3,2.0,47.0,Neutral
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-27,0.0,0.0,24814.283809523808,21,inf,40.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-03-31,-8320.5,0.0,138666.66666666666,3,0.0,34.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-01,-9311.892185,0.0,5608.603928571429,28,2.5,34.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-02,2676.6850000000004,1.0,2821.9739393939394,66,0.0,44.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-03,-5862.0887760000005,0.0,7051.005833333334,12,inf,25.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-04,-43753.361578,0.4067796610169492,5448.201969696969,132,0.2222222222222222,28.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-07,51942.142881,1.0,15608.295185185187,108,1.1176470588235294,23.0,Extreme Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-09,-36400.46439,0.0,5228.704647887324,71,inf,18.0,Extreme Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-10,19858.73334,1.0,2053.538692307692,130,0.27450980392156865,39.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-12,0.0,0.0,53073.62666666667,24,inf,43.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-13,32724.19729,1.0,24908.65857142857,35,0.0,45.0,Neutral
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-14,0.0,0.0,985.0413725490196,51,11.75,31.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-15,18951.678454,1.0,23060.654814814818,27,0.0,38.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-16,9556.6,1.0,17059.466,15,0.0,29.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-17,0.0,0.0,1086.4290909090907,11,0.0,30.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-19,0.0,0.0,8027.694615384616,13,0.0,32.0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-04-23,-2993.575225,0.0,1538.6438235294117,34,0.7,72.0,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-05-01,-113601.02013799999,0.012987012987012988,16681.46775862069,116,1.9,53.0,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-08,15206.395076,1.0,3401.4840217391306,92,0.19480519480519481,79.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-09,2397.068675,1.0,3120.5087412587413,143,14.88888888888889,78.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-10,26600.990442,0.7556497175141242,1859.9979202586208,928,0.3107344632768362,78.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-11,24663.690943,1.0,1207.490075471698,530,0.02119460500963391,74.0,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-12,130826.491662,0.9769585253456221,2596.416272814601,1041,0.19107551487414187,83.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-13,9405.233313,1.0,2702.6475451263536,277,3.0144927536231885,76.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-14,1294.450646,1.0,6203.194285714286,70,16.5,83.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-15,1703.2571850000002,1.0,2227.3388888888894,9,3.5,80.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-16,126852.290809,1.0,4090.4684897959187,245,1.1120689655172413,83.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-17,128648.384642,1.0,3056.9325000000003,476,0.7695167286245354,87.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-18,2139.192941,0.39148936170212767,2279.296023391813,342,0.4553191489361702,81.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-19,27888.195088,0.932149651236525,2272.286083815029,2076,0.31642358909321494,75.0,Extreme Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-12-20,139628.47633,0.9081081081081082,2917.238474980143,1259,0.7013513513513514,74.0,Greed
